OID,GID,County,March11,March12,March14,March15,March16,March17,March18,March19,March20,March21,March22,March23,NewCases,Shape_Leng,Shape_Area,March24
0,35,Uvalde,0,0,0,0,0,0,0,0,0,0,0,0,0,293254.502,5353345970.0,0
1,36,Lavaca,0,0,1,1,1,1,1,1,1,1,1,1,0,228583.902,3324197352.0,1
2,37,Brazoria,0,0,0,2,2,2,2,2,3,4,12,12,6,362185.7841,5068514501.0,18
3,38,Wharton,0,0,0,0,0,0,0,0,0,0,0,0,0,291067.696,3738449442.0,0
4,39,Medina,0,0,0,0,0,0,1,6,1,1,1,1,0,299528.3624,4583274740.0,1
5,40,Galveston,0,0,1,1,1,1,2,2,4,6,9,15,3,333429.7422,2284224268.0,18
6,41,Bexar,0,0,1,3,3,3,4,6,12,22,24,24,33,326284.9958,4309667318.0,57
7,42,Gonzales,0,0,0,0,0,0,0,0,0,0,0,0,0,253256.4109,3669415670.0,0
8,43,Fort Bend,6,8,9,9,9,9,9,9,11,11,11,11,18,296139.8289,3040344918.0,29
9,44,Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,282093.2394,2458985394.0,0
10,45,Bandera,0,0,0,0,0,0,0,0,0,0,0,0,0,245312.461,2750063710.0,0
11,46,Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,281337.1824,3349390119.0,0
12,47,Chambers,0,0,0,0,0,0,0,0,0,0,3,1,1,301610.3101,2992380038.0,2
13,48,Comal,0,0,0,0,0,0,0,0,0,0,3,3,1,230074.9417,1985145387.0,4
14,49,Real,0,0,0,0,0,0,0,0,0,0,0,0,0,222651.9293,2417092199.0,0
15,50,Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,221415.4109,1887989475.0,0
16,51,Kendall,0,0,0,0,0,0,0,0,0,0,0,0,0,191314.8464,2294841241.0,0
17,52,Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,293091.9219,2268677800.0,0
18,53,Fayette,0,0,0,0,0,0,0,0,0,0,0,0,1,241232.8806,3316479620.0,1
19,54,Harris,7,9,10,10,10,10,10,10,24,25,27,27,27,483658.2801,6140883427.0,54
20,55,Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,397493.2083,7345456455.0,0
21,56,Kerr,0,0,0,0,0,0,0,0,0,0,0,0,0,304579.6127,3841344092.0,0
22,57,Val Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,531072.5344,11177468162.0,0
23,58,Waller,0,0,0,0,0,0,0,0,0,0,0,0,0,291622.7981,1794914853.0,0
24,59,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,332770.4847,3436496855.0,0
25,60,Hays,0,0,0,1,1,1,1,3,4,5,6,6,1,216452.1182,2354128850.0,7
26,61,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,200602.2209,1293835874.0,0
27,62,Bastrop,0,0,0,0,0,0,0,0,0,0,0,0,0,220230.4952,3108788220.0,0
28,63,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,300186.5127,2161690738.0,0
29,64,Gillespie,0,0,0,0,0,0,0,0,0,0,0,0,0,252208.1992,3701258794.0,0
30,65,Blanco,0,0,0,0,0,0,0,0,0,0,0,0,1,204324.3368,2486558874.0,1
31,66,Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,262195.9501,2210552662.0,0
32,67,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,286352.5701,4081337370.0,0
33,68,Travis,0,0,1,1,2,3,4,7,21,22,22,22,57,294352.5316,3575026008.0,79
34,69,Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,320241.5251,3130794341.0,0
35,70,Terrell,0,0,0,0,0,0,0,0,0,0,0,0,0,461088.8654,8210230573.0,0
36,71,Montgomery,1,1,3,3,3,3,3,3,4,4,4,4,15,323383.9052,3753938852.0,19
37,72,Sutton,0,0,0,0,0,0,0,0,0,0,0,0,0,296299.5935,5074953301.0,0
38,73,Kimble,0,0,0,0,0,0,0,0,0,0,0,0,0,290280.6348,4373951198.0,0
39,74,Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,722813.4444,21376576833.0,0
40,75,Presidio,0,0,0,0,0,0,0,0,0,0,0,0,0,635231.2375,13361579316.0,0
41,76,Burleson,0,0,0,0,0,0,0,0,0,0,0,0,0,294023.6821,2372143024.0,0
42,77,Williamson,0,0,0,0,0,0,0,2,8,8,9,13,1,293706.4052,3988776750.0,14
43,78,Grimes,0,0,0,0,0,0,0,0,0,0,0,0,2,292122.1452,2810090499.0,2
44,79,Llano,0,0,0,0,0,0,0,0,0,0,0,0,0,273821.3304,3396922491.0,0
45,80,Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,230404.4213,3282361861.0,0
46,81,San Jacinto,0,0,0,0,0,0,0,0,0,0,0,0,0,263747.9944,2202546839.0,0
47,82,Brazos,0,0,0,0,0,0,1,1,2,2,2,2,10,337649.4212,2073141888.0,12
48,83,Burnet,0,0,0,0,0,0,0,0,0,0,0,0,1,296848.0166,3592346440.0,1
49,84,Menard,0,0,0,0,0,0,0,0,0,0,0,0,0,238416.8762,3183258951.0,0
50,85,Schleicher,0,0,0,0,0,0,0,0,0,0,0,0,0,286122.1583,4638027340.0,0
51,86,Crockett,0,0,0,0,0,0,0,0,0,0,0,0,0,596800.3617,9874638656.0,0
52,87,Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,260265.2693,2817916035.0,0
53,88,Milam,0,0,0,0,0,0,0,0,0,0,0,0,0,274429.2674,3596463988.0,0
54,89,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,235040.1571,1668186669.0,0
55,90,Jeff Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,395023.6586,7961688115.0,0
56,91,Tyler,0,0,0,0,0,0,0,0,0,0,0,0,0,319918.9473,3293011336.0,0
57,92,Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,333214.03,3910236107.0,0
58,93,Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,454632.4638,3411867498.0,0
59,94,Bell,0,0,1,1,1,1,1,1,2,3,3,3,13,257507.0833,3846119961.0,16
60,95,Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,444380.8829,3309528061.0,0
61,96,Pecos,0,0,0,0,0,0,0,0,0,0,0,0,0,728746.7067,16769576337.0,0
62,97,Robertson,0,0,0,0,0,0,0,0,0,0,0,0,1,298686.0706,3061969639.0,1
63,98,Lampasas,0,0,0,0,0,0,0,0,0,0,0,0,0,236152.0327,2535330756.0,0
64,99,Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,268132.4621,2526117595.0,0
65,100,San Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,373912.9913,4037124195.0,0
66,101,McCulloch,0,0,0,0,0,0,0,0,0,0,0,0,0,298626.9561,3814298446.0,0
67,102,Irion,0,0,0,0,0,0,0,0,0,0,0,0,0,244894.563,3743587921.0,0
68,1,Cameron,0,0,0,0,0,0,0,0,1,1,6,6,0,392027.6326,3771078712.0,6
69,2,Willacy,0,0,0,0,0,0,0,0,0,0,0,0,0,243035.0372,2388121778.0,0
70,3,Starr,0,0,0,0,0,0,0,0,0,0,0,0,0,302727.6598,3997022792.0,0
71,4,Hidalgo,0,0,0,0,0,0,0,0,0,0,0,2,0,391415.1876,5130448048.0,2
72,5,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,242044.0276,3092756826.0,0
73,6,Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,324614.0907,5823147876.0,0
74,7,Zapata,0,0,0,0,0,0,0,0,0,0,0,0,0,268067.3323,3466109335.0,0
75,8,Jim Hogg,0,0,0,0,0,0,0,0,0,0,0,0,0,269125.4957,3723550395.0,0
76,9,Kleberg,0,0,0,0,0,0,0,0,0,0,0,0,0,292188.7721,3345064965.0,0
77,10,Nueces,0,0,0,0,0,0,0,0,0,0,1,1,0,381135.2747,3630707461.0,1
78,11,Duval,0,0,0,0,0,0,0,0,0,0,0,0,0,331773.3415,5953917700.0,0
79,12,Jim Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,292725.5187,2881682239.0,0
80,13,San Patricio,0,0,0,0,0,0,0,0,0,0,0,0,0,355834.3958,2360233680.0,0
81,14,Webb,0,0,0,0,0,1,1,1,1,2,4,4,1,557824.5838,11203043900.0,5
82,15,Aransas,0,0,0,0,0,0,0,0,0,0,0,0,0,215680.293,1535459350.0,0
83,16,Refugio,0,0,0,0,0,0,0,0,0,0,0,0,0,360809.0885,2705026941.0,0
84,18,La Salle,0,0,0,0,0,0,0,0,0,0,0,0,0,285674.4061,5053506118.0,0
85,19,McMullen,0,0,0,0,0,0,0,0,0,0,0,0,0,253844.9644,3908922585.0,0
86,20,Bee,0,0,0,0,0,0,0,0,0,0,0,0,0,264032.0201,2958633941.0,0
